week_ending,temp_min,temp_max,temp
2021-09-06,13.21,20.159999999999997,17.09389254385965
2021-09-13,11.935714285714285,19.59714285714286,15.542894156470002
2021-09-20,11.081428571428573,21.00142857142857,15.49209603536651
2021-09-27,7.695714285714286,14.744285714285713,11.23824779142426
2021-10-04,10.1,15.958571428571428,12.578370514289633
2021-10-11,8.09142857142857,14.717142857142857,10.925890567765567
2021-10-18,8.93,13.615714285714287,11.27102829055003
2021-10-25,9.147142857142857,13.469999999999999,11.211859204287776
2021-11-01,4.254,10.23,6.296697496706193
2021-11-08,8.611428571428572,11.861428571428572,10.000445578231293
2021-11-15,6.364285714285714,9.942857142857141,7.7955378904249875
2021-11-22,1.2942857142857143,5.751428571428571,3.1432593517593514
2021-11-29,1.3214285714285714,6.295714285714285,3.4565405375825544
2021-12-06,3.4200000000000004,7.221428571428571,4.991460729746444
2021-12-13,6.892857142857143,8.594285714285714,7.842142857142858
2021-12-20,3.453333333333333,5.6433333333333335,4.4600277777777775
2021-12-27,8.98857142857143,11.737142857142857,10.221904761904764
2022-01-03,0.9428571428571428,4.5928571428571425,2.3731811224489796
2022-01-10,0.74,5.757142857142857,2.2920873015873013
2022-01-17,0.3216666666666667,5.211666666666667,2.131554971988795
2022-01-24,2.094285714285714,5.857142857142857,3.9030714285714287
2022-01-31,6.217142857142856,7.784285714285714,6.916666666666666
2022-02-07,5.853333333333333,7.91,6.840222222222223
